date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2025-09-29,0.3237,0.4916,120,0.6250,0.1667,0.2083,0.3208
2025-09-30,0.3361,0.4625,119,0.6134,0.1681,0.2185,0.3620
2025-10-01,0.3678,0.4746,120,0.6500,0.1333,0.2167,0.3880
2025-10-02,0.3274,0.4325,120,0.6167,0.1083,0.2750,0.3183
2025-10-03,0.3273,0.4847,119,0.5714,0.1765,0.2521,0.3174
2025-10-04,0.3753,0.4673,120,0.6417,0.1167,0.2417,0.3668
2025-10-05,0.2765,0.5124,120,0.5917,0.1917,0.2167,0.2774
2025-10-06,0.4365,0.4369,119,0.6975,0.0756,0.2269,0.4183
2025-10-07,0.3728,0.5112,120,0.6583,0.1750,0.1667,0.3924
2025-10-08,0.3141,0.5104,120,0.6083,0.1583,0.2333,0.3061
2025-10-09,0.3893,0.4930,120,0.7000,0.1333,0.1667,0.3784
2025-10-10,0.3891,0.4883,120,0.7000,0.1000,0.2000,0.4202
2025-10-11,0.2606,0.4984,120,0.5583,0.2083,0.2333,0.2771
2025-10-12,0.1844,0.5251,120,0.5250,0.2833,0.1917,0.2152
2025-10-13,0.3007,0.4867,119,0.5714,0.1261,0.3025,0.3132
2025-10-14,0.3408,0.5277,120,0.6083,0.2000,0.1917,0.3758
2025-10-15,0.3726,0.5344,120,0.6667,0.1583,0.1750,0.3800
2025-10-16,0.2249,0.4655,120,0.4917,0.1750,0.3333,0.2378
2025-10-17,0.3054,0.4904,119,0.5966,0.1429,0.2605,0.3068
2025-10-18,0.2824,0.5428,120,0.6167,0.2417,0.1417,0.3011
2025-10-19,0.3128,0.4964,120,0.5667,0.1917,0.2417,0.3178
2025-10-20,0.2124,0.4536,120,0.4417,0.1833,0.3750,0.2172
2025-10-21,0.3199,0.4984,120,0.5917,0.1583,0.2500,0.3519
2025-10-22,0.3819,0.5090,120,0.6750,0.1500,0.1750,0.4090
2025-10-23,0.3092,0.5425,120,0.5750,0.1917,0.2333,0.3257
2025-10-24,0.3563,0.5067,120,0.6000,0.1583,0.2417,0.3773
2025-10-25,0.2711,0.4992,120,0.6000,0.2333,0.1667,0.2708
2025-10-26,0.4207,0.4916,120,0.6750,0.1250,0.2000,0.4373
2025-10-27,0.4153,0.4830,120,0.6333,0.1000,0.2667,0.4528
2025-10-28,0.3179,0.4975,120,0.5750,0.1167,0.3083,0.2972
2025-10-29,0.3513,0.4961,120,0.5917,0.1417,0.2667,0.3781
2025-10-30,0.3614,0.5186,120,0.6250,0.1667,0.2083,0.3795
2025-10-31,0.4858,0.4648,120,0.7250,0.1000,0.1750,0.5464
