bucket,sentiment_mean,tweet_count,weighted_sentiment_mean
2025-07-13 16:00:00,0.1456,20,0.1230
2025-07-13 20:00:00,0.3159,20,0.2952
2025-07-14 00:00:00,0.2347,20,0.2110
2025-07-14 04:00:00,0.2257,20,0.1744
2025-07-14 08:00:00,0.3592,20,0.3974
2025-07-14 12:00:00,0.2273,20,0.2390
2025-07-14 16:00:00,-0.0193,20,-0.0192
2025-07-14 20:00:00,0.3043,20,0.2729
2025-07-15 00:00:00,0.1783,20,0.1830
2025-07-15 04:00:00,0.1756,20,0.1508
2025-07-15 08:00:00,0.2481,20,0.2582
2025-07-15 12:00:00,0.3856,20,0.3855
2025-07-15 16:00:00,0.3400,20,0.2908
2025-07-15 20:00:00,0.3747,20,0.3908
2025-07-16 00:00:00,0.1834,20,0.1734
2025-07-16 04:00:00,0.5156,20,0.5659
2025-07-16 08:00:00,0.2775,20,0.3170
2025-07-16 12:00:00,0.3789,20,0.2304
2025-07-16 16:00:00,0.3427,20,0.3631
2025-07-16 20:00:00,0.2200,20,0.1861
2025-07-17 00:00:00,0.2035,20,0.1983
2025-07-17 04:00:00,0.5440,20,0.5399
2025-07-17 08:00:00,0.4315,20,0.4103
2025-07-17 12:00:00,0.5494,20,0.5531
2025-07-17 16:00:00,0.2848,20,0.2859
2025-07-17 20:00:00,0.2419,20,0.2270
2025-07-18 00:00:00,0.1902,20,0.2530
2025-07-18 04:00:00,0.5541,20,0.5710
2025-07-18 08:00:00,0.3568,20,0.3779
2025-07-18 12:00:00,0.3258,20,0.3730
2025-07-18 16:00:00,0.3390,20,0.3463
2025-07-18 20:00:00,0.2920,20,0.2994
2025-07-19 00:00:00,0.3054,20,0.3489
2025-07-19 04:00:00,0.2457,20,0.1400
2025-07-19 08:00:00,0.3628,20,0.3502
2025-07-19 12:00:00,0.2909,20,0.2943
2025-07-19 16:00:00,0.3681,20,0.3521
2025-07-19 20:00:00,0.2465,20,0.2144
2025-07-20 00:00:00,0.2561,20,0.2183
2025-07-20 04:00:00,0.5142,20,0.5444
2025-07-20 08:00:00,0.3424,20,0.2447
2025-07-20 12:00:00,0.3726,19,0.4188
2025-07-20 16:00:00,0.0784,20,0.0540
2025-07-20 20:00:00,0.1341,20,0.1962
2025-07-21 00:00:00,0.1973,20,0.1850
2025-07-21 04:00:00,0.4395,20,0.4116
2025-07-21 08:00:00,0.5050,20,0.4771
2025-07-21 12:00:00,0.2822,19,0.3511
2025-07-21 16:00:00,0.3387,20,0.2758
2025-07-21 20:00:00,0.2413,20,0.2112
2025-07-22 00:00:00,0.4278,20,0.4348
2025-07-22 04:00:00,0.5013,20,0.4960
2025-07-22 08:00:00,0.5887,20,0.5537
2025-07-22 12:00:00,0.3177,20,0.4094
2025-07-22 16:00:00,0.6191,20,0.5961
2025-07-22 20:00:00,0.3604,20,0.3957
2025-07-23 00:00:00,0.2735,19,0.1857
2025-07-23 04:00:00,0.5293,20,0.4916
2025-07-23 08:00:00,0.3072,20,0.3584
2025-07-23 12:00:00,0.2926,20,0.2625
2025-07-23 16:00:00,0.4422,19,0.4861
2025-07-23 20:00:00,0.3380,20,0.3428
2025-07-24 00:00:00,0.3463,20,0.3181
2025-07-24 04:00:00,0.5379,20,0.5552
2025-07-24 08:00:00,0.3415,20,0.3990
2025-07-24 12:00:00,0.4160,20,0.4213
2025-07-24 16:00:00,0.3288,20,0.2709
2025-07-24 20:00:00,0.2713,20,0.2972
2025-07-25 00:00:00,0.3176,20,0.2849
2025-07-25 04:00:00,0.2531,20,0.2639
2025-07-25 08:00:00,0.3452,20,0.3515
2025-07-25 12:00:00,0.3347,20,0.3281
2025-07-25 16:00:00,0.5166,20,0.5417
2025-07-25 20:00:00,0.3943,20,0.3725
2025-07-26 00:00:00,0.2304,20,0.2269
2025-07-26 04:00:00,0.5829,20,0.5723
2025-07-26 08:00:00,0.2485,20,0.2181
2025-07-26 12:00:00,0.1087,20,0.0387
2025-07-26 16:00:00,0.2645,20,0.3360
2025-07-26 20:00:00,0.2577,20,0.2511
2025-07-27 00:00:00,0.2227,20,0.2183
2025-07-27 04:00:00,0.3718,20,0.3901
2025-07-27 08:00:00,0.2087,20,0.2154
2025-07-27 12:00:00,0.2663,20,0.3063
2025-07-27 16:00:00,0.2887,20,0.2624
2025-07-27 20:00:00,0.3186,20,0.3953
2025-07-28 00:00:00,0.1579,20,0.1443
2025-07-28 04:00:00,0.1652,20,0.2192
2025-07-28 08:00:00,0.2914,20,0.3232
