date,sentiment_mean,tweet_count
2021-11-16,0.6119,49
2021-11-17,0.4663,58
2021-11-18,0.5089,57
2021-11-19,0.3713,58
2021-11-20,0.5121,11
2021-11-21,0.2916,9
2021-11-22,0.4936,55
2021-11-23,0.4576,52
2021-11-24,0.6629,56
2021-11-25,0.5685,46
2021-11-26,0.1761,39
2021-11-27,0.4854,7
2021-11-28,0.2522,18
2021-11-29,0.6398,48
2021-11-30,0.4807,57
2021-12-01,0.6367,54
2021-12-02,0.2870,45
2021-12-03,0.6055,59
2021-12-04,0.3195,15
2021-12-05,0.4423,12
2021-12-06,0.5290,47
2021-12-07,0.5022,53
2021-12-08,0.5806,53
2021-12-09,0.5600,67
2021-12-10,0.5568,49
2021-12-11,0.4078,17
2021-12-12,0.6000,12
2021-12-13,0.5786,38
2021-12-14,0.4854,61
2021-12-15,0.4263,64
2021-12-16,0.4647,59
2021-12-17,0.4523,58
2021-12-18,0.3243,22
2021-12-19,0.6228,6
2021-12-20,0.5775,32
2021-12-21,0.6540,31
2021-12-22,0.6593,37
2021-12-23,0.6172,32
2021-12-24,0.6806,16
2021-12-25,0.9497,3
2021-12-26,0.2310,5
2021-12-27,0.4365,24
2021-12-28,0.4496,23
2021-12-29,0.5489,29
2021-12-30,0.3784,34
2021-12-31,0.5815,20
2022-01-01,0.8560,3
2022-01-02,0.8935,2
2022-01-03,0.7885,24
2022-01-04,0.3825,34
2022-01-05,0.4875,2
2022-01-06,0.4815,8
2022-01-07,0.4204,18
2022-01-08,0.6710,3
2022-01-11,0.9622,18
2022-01-12,0.7746,8
2022-01-13,0.2603,22
2022-01-14,0.3692,16
2022-01-15,0.9613,3
2022-01-18,0.8598,14
2022-01-20,0.6175,15
2022-01-21,0.4868,8
2022-01-22,0.4200,5
2022-01-23,0.9770,3
2022-01-25,0.2761,15
2022-01-26,0.6780,19
2022-01-27,0.6758,11
2022-01-28,0.5339,19
2022-01-30,0.1550,1
2022-01-31,0.4131,17
2022-02-01,0.9950,1
2022-02-02,0.6973,18
2022-02-03,0.4453,17
