,date,count,normalized
66,2022-06-23,26,0.203
65,2022-06-24,44,0.1624
64,2022-06-25,9,0.4049
63,2022-06-26,2,0.29
62,2022-06-27,35,0.3218
61,2022-06-28,20,0.1478
60,2022-06-29,41,0.1971
59,2022-06-30,31,0.3151
58,2022-07-01,32,0.0318
57,2022-07-02,9,0.0644
56,2022-07-03,2,-0.2565
55,2022-07-04,3,-0.139
54,2022-07-05,28,-0.0442
53,2022-07-06,38,0.2022
52,2022-07-07,27,0.2222
51,2022-07-08,27,0.25
50,2022-07-09,9,0.2967
49,2022-07-11,13,0.1446
48,2022-07-12,32,0.2108
47,2022-07-13,38,0.1087
46,2022-07-14,3,0.2653
45,2022-07-15,28,0.1599
44,2022-07-16,3,0.448
43,2022-07-17,3,0.423
42,2022-07-18,48,0.3999
41,2022-07-19,42,0.3755
40,2022-07-20,26,0.3006
39,2022-07-21,28,0.2993
38,2022-07-22,36,0.4356
37,2022-07-25,19,-0.0254
36,2022-07-26,36,0.2686
35,2022-07-27,43,0.1569
34,2022-07-28,33,0.078
33,2022-07-29,35,0.3497
32,2022-07-30,2,0.454
31,2022-07-31,13,0.0467
30,2022-08-01,32,0.1367
29,2022-08-02,34,0.2946
28,2022-08-03,29,-0.0144
27,2022-08-04,30,0.3316
26,2022-08-05,32,0.3479
25,2022-08-06,7,0.0366
24,2022-08-07,7,0.2709
23,2022-08-08,34,0.3345
22,2022-08-09,38,0.1828
21,2022-08-10,13,0.3831
20,2022-08-11,31,0.2323
19,2022-08-12,31,0.2491
18,2022-08-13,14,0.1904
17,2022-08-14,3,-0.084
16,2022-08-15,26,0.444
15,2022-08-16,12,0.0727
14,2022-08-17,27,0.2093
13,2022-08-18,39,0.0833
12,2022-08-19,39,0.1215
11,2022-08-20,4,-0.1703
10,2022-08-21,5,-0.0632
9,2022-08-22,31,-0.0415
8,2022-08-23,31,0.237
7,2022-08-24,28,0.274
6,2022-08-25,18,0.3804
5,2022-08-26,33,0.2526
4,2022-08-28,5,0.0642
3,2022-08-29,24,0.1153
2,2022-08-30,29,0.1659
1,2022-08-31,9,-0.0802
0,2022-09-01,27,0.1255
